Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Mainland India,Mainland India,IN,654.14,710.49,13.02,8.88,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 01:00:00,Mainland India,Mainland India,IN,655.37,711.86,12.86,8.94,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 02:00:00,Mainland India,Mainland India,IN,626.82,682.9,16.65,13.12,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 03:00:00,Mainland India,Mainland India,IN,591.88,647.5,21.31,18.25,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 04:00:00,Mainland India,Mainland India,IN,586.18,641.75,22.08,19.25,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 05:00:00,Mainland India,Mainland India,IN,586.24,641.86,22.1,19.41,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 06:00:00,Mainland India,Mainland India,IN,588.06,643.74,21.86,19.15,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 07:00:00,Mainland India,Mainland India,IN,585.07,640.66,22.26,19.49,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 08:00:00,Mainland India,Mainland India,IN,581.9,637.39,22.67,19.79,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 09:00:00,Mainland India,Mainland India,IN,582.19,637.66,22.63,19.66,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 10:00:00,Mainland India,Mainland India,IN,585.32,640.81,22.2,19.12,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 11:00:00,Mainland India,Mainland India,IN,600.64,656.41,20.15,16.98,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 12:00:00,Mainland India,Mainland India,IN,650.78,707.46,13.46,10.01,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 13:00:00,Mainland India,Mainland India,IN,664.78,721.71,11.59,8.02,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 14:00:00,Mainland India,Mainland India,IN,663.32,720.17,11.75,8.02,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 15:00:00,Mainland India,Mainland India,IN,663.1,719.85,11.8,7.94,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 16:00:00,Mainland India,Mainland India,IN,661.46,718.12,12.01,8.0,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 17:00:00,Mainland India,Mainland India,IN,663.49,720.13,11.78,7.61,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 18:00:00,Mainland India,Mainland India,IN,655.93,712.32,12.77,8.61,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 19:00:00,Mainland India,Mainland India,IN,656.29,712.62,12.74,8.41,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 20:00:00,Mainland India,Mainland India,IN,656.12,712.38,12.77,8.28,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 21:00:00,Mainland India,Mainland India,IN,655.23,711.42,12.89,8.27,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 22:00:00,Mainland India,Mainland India,IN,654.64,710.81,12.97,8.39,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 23:00:00,Mainland India,Mainland India,IN,654.74,710.96,12.96,8.53,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 00:00:00,Mainland India,Mainland India,IN,652.9,709.14,13.18,8.88,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 01:00:00,Mainland India,Mainland India,IN,656.94,713.46,12.64,8.74,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 02:00:00,Mainland India,Mainland India,IN,627.9,683.98,16.5,12.93,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 03:00:00,Mainland India,Mainland India,IN,591.4,646.96,21.36,18.24,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 04:00:00,Mainland India,Mainland India,IN,588.07,643.66,21.81,18.95,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 05:00:00,Mainland India,Mainland India,IN,587.12,642.74,21.96,19.23,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 06:00:00,Mainland India,Mainland India,IN,588.93,644.6,21.71,18.99,,true,ESTIMATED_MODE_BREAKDOWN
